id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
128,8828.266992,-1,47844592.64,159482.4543,699.5,0.112321205,8.903038364,1419878.409,56479.68921,78.33321938,789293955.2,1571211360,40
129,8829.074578,-1,47175429.76,158941.7507,699.5,0.112075099,8.9225886,1418171.853,56491.83039,78.24389742,884451763.3,1571211518,40
130,8828.34533,-1,47021674.72,158566.12,699.5,0.112187778,8.913626902,1413399.233,56515.53267,78.1299017,979406072.9,1571211675,40
131,8828.266992,-1,47661878.77,158252.5036,699.5,0.11332738,8.823992912,1396418.97,56422.1844,79.22942223,1075153757,1571211834,40
132,8829.074721,-1,47165268.29,159171.0907,699.5,0.11164769,8.956745963,1425655.024,56503.11485,77.94949833,1170643954,1571211993,40
133,8828.345474,-1,47526490.61,159178.4457,699.5,0.112333494,8.902064453,1417016.783,56516.92565,78.38317508,1266014936,1571212150,40
134,8828.267135,-1,47717287.71,159056.0943,699.5,0.112597918,8.881158886,1412602.445,56483.50174,78.94617119,1361915718,1571212309,40
135,9183.744158,-1,37345023.34,326250.48,699.5,0.043135571,23.18272325,7563374.588,55923.99248,30.07793339,1447236615,1571212419,40
136,9184.058841,-1,38272980.61,331827.8886,699.5,0.043416859,23.0325273,7642834.903,55894.31986,30.2819519,1523724191,1571212480,40
137,9183.302831,-1,38350700.23,333297.9979,699.5,0.04342071,23.03048482,7676014.482,55799.57854,30.28013804,1601290912,1571212541,40
138,9185.012134,-1,38223879.68,335517.9143,699.5,0.043124664,23.18858637,7780186.136,55900.06618,30.10250601,1679208570,1571212602,40
139,9184.058841,-1,39263622.51,337119.1157,699.5,0.043552257,22.96092274,7740565.969,55805.23264,30.46762903,1757530406,1571212663,40
140,9183.302831,-1,38316382.45,338799.5429,699.5,0.043197921,23.14926239,7842959.514,55850.30813,30.1032207,1836022076,1571212725,40
141,9185.012276,-1,39267562.23,341170.1429,699.5,0.043181465,23.15808396,7900846.812,55955.33837,30.12002661,1914905856,1571212786,40
142,9184.058985,-1,38350633.84,337787.6907,699.5,0.043281493,23.1045635,7804437.151,55871.2873,30.1945854,1993709933,1571212847,40
143,9183.302974,-1,39086291.39,339100.5857,699.5,0.043516417,22.97983334,7792474.946,55892.39952,30.34885674,2072622444,1571212908,40
144,9038.255274,-1,42389820.78,341431.1307,699.5,0.046630394,21.44524007,7322072.565,55862.2437,32.59284085,2154938383,1571212972,40
145,9037.627113,-1,41808326.07,338323.8129,699.5,0.046774544,21.37915007,7233075.567,55990.49906,32.75019724,2239926229,1571213038,40
146,9037.179582,-1,42504212.93,340205.43,699.5,0.046891699,21.32573614,7255131.232,55859.9654,32.74695828,2325187183,1571213104,40
147,9037.733408,-1,42171558.14,338801.805,699.5,0.046864975,21.33789664,7229317.896,55879.40813,32.80829136,2410459226,1571213170,40
