,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
1824,2400000,15,15,39,106,860,960,1,0.7999999999999999,54,97,48,64,11,8,60,8,2,1,0.8999999999999999,1,1,1.0
1825,1200000,30,30,99,112,830,600,3,0.7999999999999999,40,100,50,42,9,9,400,4,2,1,0.5,1,1,0.6
1826,1200000,15,15,106,124,1000,610,5,0.7999999999999999,8,71,110,44,12,8,160,10,8,1,0.7,1,1,1.0
1827,3000000,30,30,99,42,430,330,4,0.7,4,93,108,56,9,16,500,2,3,1,1.0,1,0,0.7
1828,3000000,30,30,116,45,380,600,1,0.6,16,98,122,96,9,8,120,5,3,1,1.0,1,0,0.7
1829,1800000,10,10,61,98,720,160,4,0.7999999999999999,8,73,92,52,8,13,200,8,4,0,0.6,1,1,1.0
1830,1800000,10,10,27,54,800,400,5,0.7,54,24,24,110,13,14,480,4,1,1,0.7,1,0,1.0
1831,1800000,30,30,35,56,890,570,3,0.5,58,79,84,58,11,8,60,10,2,1,0.5,1,1,1.0
1832,3000000,10,10,47,69,590,630,4,0.6,32,35,96,76,8,16,120,9,5,1,0.8999999999999999,0,1,0.7
1833,1200000,15,15,46,91,560,340,2,0.7,14,57,124,96,9,8,200,9,3,1,0.8999999999999999,0,0,0.7
1834,3000000,20,20,95,101,870,320,2,1.0,52,122,70,98,8,15,260,2,8,1,0.7,0,1,0.8999999999999999
1835,1200000,10,10,37,49,280,200,1,0.7999999999999999,18,54,116,84,11,11,340,3,6,1,0.5,1,0,0.5
1836,2400000,20,20,77,70,260,570,3,0.7,6,41,128,68,8,16,240,5,4,1,0.8999999999999999,1,1,0.7999999999999999
1837,3000000,30,30,71,100,480,300,5,0.7,52,114,116,56,14,17,440,4,7,0,0.7999999999999999,0,1,0.7
1838,2400000,30,30,99,33,220,560,1,0.5,60,106,50,52,13,13,320,8,2,0,0.7,0,1,0.8999999999999999
1839,1800000,10,10,122,80,760,140,4,0.6,64,36,24,120,8,12,40,2,7,1,0.7,0,0,0.7
1840,1200000,10,10,107,56,560,840,4,0.7,14,48,96,124,9,12,160,9,2,0,0.8999999999999999,1,1,0.5
1841,2400000,20,20,46,124,670,330,5,0.7,20,46,48,106,11,11,480,8,1,0,0.8999999999999999,0,1,1.0
1842,3000000,20,20,117,40,640,300,5,0.7999999999999999,52,110,42,32,11,9,360,2,4,0,0.7999999999999999,1,0,0.7
1843,2400000,15,15,71,91,860,660,2,0.5,60,65,102,30,12,13,420,6,2,0,0.5,1,0,0.6
1844,2400000,10,10,51,62,690,310,1,0.5,40,93,70,116,11,17,420,6,3,0,0.5,1,1,0.6
1845,2400000,30,30,56,40,640,460,2,0.7,8,57,96,90,11,15,280,7,5,0,0.8999999999999999,0,1,0.6
1846,3000000,20,20,42,104,170,110,4,1.0,60,125,104,86,8,10,280,5,5,0,0.6,1,0,1.0
1847,1200000,20,20,30,49,170,430,4,0.8999999999999999,22,77,114,114,10,8,460,2,4,1,0.7999999999999999,1,0,0.5
1848,3000000,20,20,31,89,550,480,4,1.0,36,70,40,48,10,17,40,2,6,1,0.8999999999999999,1,1,0.5
1849,2400000,10,10,128,72,230,100,4,1.0,64,61,36,38,14,10,180,9,7,0,0.5,0,0,0.6
1850,3000000,30,30,92,112,630,210,4,1.0,58,36,92,44,12,11,460,10,1,0,0.7999999999999999,1,1,0.7999999999999999
1851,1800000,30,30,56,119,800,1000,2,0.6,24,110,78,78,9,11,240,5,7,0,0.7999999999999999,0,1,0.7
1852,1800000,30,30,72,62,260,450,2,0.7999999999999999,4,124,120,62,14,12,500,1,2,0,0.6,0,0,0.7999999999999999
1853,2400000,15,15,32,59,430,350,3,0.7999999999999999,32,88,34,36,8,12,340,3,8,1,0.8999999999999999,0,0,0.7999999999999999
1854,3000000,10,10,128,79,650,810,5,0.7,32,48,28,46,11,12,500,7,4,1,0.5,1,1,0.8999999999999999
1855,2400000,15,15,66,127,920,960,4,0.6,10,67,116,96,10,12,20,6,1,1,0.5,0,0,1.0
1856,3000000,15,15,72,72,200,790,3,0.5,58,25,38,94,8,18,420,2,8,1,1.0,0,1,1.0
1857,3000000,10,10,34,90,910,700,1,1.0,30,80,28,126,14,9,160,2,6,1,0.6,0,0,0.7
1858,1800000,10,10,40,99,250,660,5,0.7999999999999999,30,121,28,58,13,9,400,1,5,0,0.5,0,0,0.8999999999999999
1859,1200000,15,15,113,45,840,290,5,0.7,64,100,106,48,10,12,460,7,1,1,0.8999999999999999,0,1,0.8999999999999999
1860,1800000,20,20,106,110,260,560,2,0.6,18,39,126,104,8,13,380,2,7,1,0.7999999999999999,1,1,0.6
